name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Tricycle Cinema,Brent,,000202124574,E09000005,Kilburn,E05000094,,269 Kilburn High Road,,524910.0001221001,184210.00012210011,-0.19856005482910757,51.5424677401049,11/27/2022
Stratford East Picturehouse,Newham,,010008985556,E09000025,Stratford and New Town,E05000492,,Gerry Raffell Square,Salway Road,538892.0001221001,184582.00012210011,0.003107908916422592,51.54254280796875,11/27/2022
Vue Westfield Stratford,Newham,,010090326480,E09000025,Stratford and New Town,E05000492,2 Stratford Place,Westfield Stratford City,"Stratford 
",538310.0001221001,184593.00012210011,-0.005275917439149317,51.54278461520749,11/27/2022
Hackney Picturehouse,Hackney,,100023014120,E09000012,Homerton,E05009376,,270 Mare Street,,534969.0001221001,184677.00012210011,-0.053397719262246617,51.54434856425023,11/27/2022
Vue Finchley Road,Camden,,000005125686,E09000007,West Hampstead,E05000145,02 Centre,255 Finchley Rd,,526196.0001221001,184795.00012210011,-0.17981366132983945,51.54743952428385,11/27/2022
JW3,Camden,,000005164899,E09000007,West Hampstead,E05000145,,341-351 Finchley Road,,525979.0001221001,185126.00012210011,-0.18282330672737632,51.55046301788604,11/27/2022
Everyman Belsize Park,Camden,,000005050403,E09000007,Belsize,E05000128,,203 Haverstock Hill,,527252.0001221001,185130.00012210011,-0.16446963523022923,51.550213248452835,11/27/2022
Rio Cinema,Hackney,,100023015558,E09000012,Dalston,E05009370,,107 Kingsland High Street,,533519.0001221001,185170.00012210011,-0.07411056883963998,51.549124307143835,11/27/2022
The Castle Cinema,Hackney,,100023544617,E09000012,King's Park,E05009379,,"First Floor, 64-66 Brooksby's Walk",,535760.0001221001,185414.00012210011,-0.04171216001964704,51.55078235380939,11/27/2022
Cineworld Wembley,Brent,www.cineworld.co.uk,000202206309,E09000005,Tokyngton,E05000102,,Wembley Park Blvd,,519095.0001221001,185596.00012210011,-0.2819125460195152,51.55618293631423,11/27/2022
Cineworld South Ruislip,Hillingdon,,010092984334,E09000017,South Ruislip,E05000338,,The Old Dairy,Victoria Rd,511007.82012939453,185678.2200927958,-0.39850296734334495,51.55857179371676,11/27/2022
Everyman Hampstead,Camden,,000005090728,E09000007,Frognal and Fitzjohns,E05000133,,5 Hollybush Vale,Hampstead,526338.0001221001,185744.00012210011,-0.17742571052131445,51.55593723698537,11/27/2022
Odeon Holloway,Islington,,005300048412,E09000019,St. George's,E05000378,419-427 Holloway Rd,,Holloway,530321.0001221001,186098.00012210011,-0.11986780914295775,51.55821260194776,11/27/2022
