name,address1,address2,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address3,longitude,latitude,easting,northing,runtime
The Queen's Theatre,59 Billet Lane,,Havering,http://www.queens-theatre.co.uk,100023213219,E09000016,St. Andrew's,E05000320,,0.2194442974728821,51.565210579829674,553700.1360083388,187588.64261193317,11/27/2022
Richmond Theatre,"15 Little Green,",,Richmond upon Thames,,10002264543,E09000027,South Richmond,E05000528,,-0.30384478130276277,51.46212984710516,517707.3417477044,175156.86857790558,11/27/2022
Roundhouse,100 Chalk Farm Road,,Camden,http://www.roundhouse.org.uk,5090672,E09000007,Camden Town with Primrose Hill,E05000130,,-0.15189860757857343,51.54323233753101,528032.0838188938,184429.3711192432,11/27/2022
Royal Opera House - The Linbury Studio Theatre and Foyer,35 Bow Street,,City of Westminster,http://www.roh.org.uk,10033547198,E09000033,St. James's,E05000644,,-0.1226537045637728,51.513047105890195,530145.5657065961,181125.00886241795,11/27/2022
Rudolf Steiner House,35 Park Road,,City of Westminster,http://www.rsh.anth.org.uk,200001772116,E09000033,Bryanston and Dorset Square,E05000632,,-0.1605557434657712,51.52489743109743,527483.1734869593,182375.7418978045,11/27/2022
Savoy Theatre,2 Savoy Court,,City of Westminster,http://www.savoytheatre.org,100023612110,E09000033,St. James's,E05000644,,-0.12086982981048652,51.51016784122517,530277.5312735734,180808.06910561485,11/27/2022
Shaftesbury Theatre,210 Shaftesbury Avenue,,Camden,http://www.shaftesburytheatre.com,5038488,E09000007,Holborn and Covent Garden,E05000138,,-0.1260953408279352,51.51627657115764,529897.626747536,181477.9399608883,11/27/2022
Shaw Theatre,100-110 Euston Road,,Camden,http://www.shaw-theatre.com,5083194,E09000007,St. Pancras and Somers Town,E05000143,,-0.12811024024435436,51.52864677124312,529722.6844269035,182849.68790303497,11/27/2022
Southwark Playhouse,77-85 Newington Causeway,,Southwark,http://www.southwarkplayhouse.co.uk,200003374411,E09000028,Chaucer,E05011098,,-0.09822409282459499,51.49750075305259,531885.1564449987,179440.34489017754,11/27/2022
The King's Head Theatre,115 Upper Street,,Islington,http://www.kingsheadtheatrepub.co.uk,5300094557,E09000019,St. Mary's,E05000379,,-0.10281017665850987,51.53830315585424,531449.316353261,183968.4886583889,11/27/2022
The Lion and Unicorn Theatre,42-44 Gaisford Street,,Camden,http://www.thelionandunicornnw5.co.uk,5082943,E09000007,Cantelowes,E05000131,,-0.13892271099645245,51.54809015069022,528917.8899181164,184992.28701134288,11/27/2022
The O2 Arena,Peninsula Square,,Greenwich,https://www.theo2.co.uk,10010228254,E09000011,Peninsula,E05000225,,0.003185639402138716,51.502920543654774,538905.7966629581,180230.6082976504,11/27/2022
The Phoenix Artists Club,1 Phoenix Street,,City of Westminster,http://www.phoenixartistclub.com,10033531800,E09000033,St. James's,E05000644,,-0.1286176073655147,51.50959926615894,529741.647763583,180731.07676467474,11/27/2022
The Rosemary Branch,2A Shepperton Road,,Islington,http://www.rosemarybranchtheatre.co.uk,5300082551,E09000019,Canonbury,E05000369,,-0.08693312001556831,51.537622409430384,532552.0804243142,183921.45322628593,11/27/2022
The Royal Albert Hall,9 Kensington Gore,,City of Westminster,https://www.royalalberthall.com,100023378047,E09000033,Knightsbridge and Belgravia,E05000637,,-0.17751558951229515,51.50126863054021,526372.3694292454,179719.22961387562,11/27/2022
The Scoop at More London,Queen's Walk,,Southwark,,10013532078,E09000028,London Bridge & West Bermondsey,E05011104,,-0.07925760856509012,51.505030063061604,533179.3433921003,180311.82198097336,11/27/2022
The Yard,2A Queens Yard,,Tower Hamlets,https://theyardtheatre.co.uk,6077552,E09000030,Bow East,E05009319,,-0.02338244103278772,51.54263858650894,536943.130329375,184596.2730190672,11/27/2022
Theatre Royal Drury Lane,6 Catherine Street,,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/theatre-royal?utm_source=theatreroyalboxoffice.co.uk,10033555899,E09000033,St. James's,E05000644,,-0.12034041639956829,51.51287516912527,530306.5298853032,181110.01381163113,11/27/2022
White Bear Theatre,138 Kennington Park Road,,Lambeth,http://www.whitebearkennington.co.uk,100021856679,E09000022,Prince's,E05000427,,-0.10809969471258074,51.48690515526746,531230.3002841995,178244.57023873692,11/27/2022
Testbed 1,33 Parkgate Road,,Wandsworth,http://testbed1.com,100023587064,E09000032,St. Mary's Park,E05000622,,-0.1683291338545022,51.47883270856173,527072.2311306407,177240.7248418944,11/27/2022
The Other Palace,12 Palace Street,,City of Westminster,https://www.theotherpalace.co.uk,10033568019,E09000033,St. James's,E05000644,,-0.14226133584936457,51.4987101510302,528825.8273998916,179496.2986767295,11/27/2022
Winston Churchill Theatre,Manor Farm,,Hillingdon,http://www.hillingdontheatres.uk,100023034034,E09000017,Eastcote and East Ruislip,E05000329,,-0.4287435141039275,51.57894530296579,508754.24509050517,187951.3084545851,11/27/2022
